name,red,green,blue,cluster
xkcd:eggshell blue,0.7686274509803922,1.0,0.9686274509803922,0
xkcd:evergreen,0.0196078431372549,0.2784313725490196,0.16470588235294117,-1
xkcd:light lime,0.6823529411764706,0.9921568627450981,0.4235294117647059,1
xkcd:seafoam blue,0.47058823529411764,0.8196078431372549,0.7137254901960784,-1
xkcd:electric purple,0.6666666666666666,0.13725490196078433,1.0,-1
xkcd:deep teal,0.0,0.3333333333333333,0.35294117647058826,2
xkcd:dark purple,0.20784313725490197,0.023529411764705882,0.24313725490196078,3
xkcd:dark seafoam,0.12156862745098039,0.7098039215686275,0.47843137254901963,4
xkcd:wheat,0.984313725490196,0.8666666666666667,0.49411764705882355,5
xkcd:grape purple,0.36470588235294116,0.0784313725490196,0.3176470588235294,6
xkcd:blue,0.011764705882352941,0.2627450980392157,0.8745098039215686,-1
xkcd:straw,0.9882352941176471,0.9647058823529412,0.4745098039215686,5
xkcd:raw umber,0.6549019607843137,0.3686274509803922,0.03529411764705882,7
xkcd:yellowish brown,0.6078431372549019,0.47843137254901963,0.00392156862745098,7
xkcd:foam green,0.5647058823529412,0.9921568627450981,0.6627450980392157,8
xkcd:light peach,1.0,0.8470588235294118,0.6941176470588235,9
xkcd:violet,0.6039215686274509,0.054901960784313725,0.9176470588235294,55
xkcd:wine red,0.4823529411764706,0.011764705882352941,0.13725490196078433,10
xkcd:baby blue,0.6352941176470588,0.8117647058823529,0.996078431372549,11
xkcd:grey/blue,0.39215686274509803,0.49019607843137253,0.5568627450980392,12
xkcd:green/blue,0.00392156862745098,0.7529411764705882,0.5529411764705883,45
xkcd:dark plum,0.24705882352941178,0.00392156862745098,0.17254901960784313,3
xkcd:hot green,0.1450980392156863,1.0,0.1607843137254902,33
xkcd:baby poo,0.6705882352941176,0.5647058823529412,0.01568627450980392,7
xkcd:light purple,0.7490196078431373,0.4666666666666667,0.9647058823529412,13
xkcd:camel,0.7764705882352941,0.6235294117647059,0.34901960784313724,14
xkcd:purplish brown,0.4196078431372549,0.25882352941176473,0.2784313725490196,15
xkcd:almost black,0.027450980392156862,0.050980392156862744,0.050980392156862744,-1
xkcd:very dark green,0.023529411764705882,0.1803921568627451,0.011764705882352941,16
xkcd:dark sage,0.34901960784313724,0.5215686274509804,0.33725490196078434,17
xkcd:mossy green,0.38823529411764707,0.5450980392156862,0.15294117647058825,17
xkcd:pastel blue,0.6352941176470588,0.7490196078431373,0.996078431372549,11
xkcd:pink red,0.9607843137254902,0.0196078431372549,0.30980392156862746,47
xkcd:sea green,0.3254901960784314,0.9882352941176471,0.6313725490196078,22
