                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.62822,                0.64616,                 1.0509,                0.80811,                0.72082,                0.81274,                  0.713,                0.55872,                0.68752,                0.95124,               0.006535,               0.006535,               0.006535
                     38,                0.62555,                0.63673,                 1.0508,                0.79707,                 0.7273,                0.80898,                0.71421,                0.54888,                0.65925,                0.94195,               0.006436,               0.006436,               0.006436
                     39,                0.61973,                 0.6374,                 1.0482,                 0.7539,                0.72289,                0.80418,                0.71452,                0.54384,                 0.6626,                0.94514,               0.006337,               0.006337,               0.006337
                     40,                0.61482,                 0.6238,                 1.0447,                0.76227,                0.70892,                0.80976,                0.71687,                 0.5406,                0.67551,                 0.9365,               0.006238,               0.006238,               0.006238
                     41,                0.61276,                0.61252,                 1.0398,                0.81163,                0.70278,                 0.8011,                0.71331,                0.54007,                0.68489,                 0.9352,               0.006139,               0.006139,               0.006139
                     42,                0.60468,                0.60554,                 1.0409,                 0.7554,                0.73406,                0.81693,                0.72219,                0.54715,                0.65372,                0.94558,                0.00604,                0.00604,                0.00604
                     43,                0.60298,                0.59966,                 1.0379,                0.83922,                0.69486,                0.81094,                0.71792,                0.54625,                0.66746,                 0.9454,               0.005941,               0.005941,               0.005941
                     44,                0.60146,                0.59336,                 1.0352,                0.84419,                0.71664,                0.82212,                0.72946,                0.54714,                 0.6443,                0.94667,               0.005842,               0.005842,               0.005842
                     45,                0.59933,                0.58805,                  1.036,                0.80396,                0.73039,                0.82129,                0.73161,                0.54564,                0.65501,                0.94617,               0.005743,               0.005743,               0.005743
                     46,                0.59303,                0.57901,                 1.0316,                0.75018,                0.75305,                 0.8258,                0.73193,                 0.5446,                0.65279,                 0.9475,               0.005644,               0.005644,               0.005644
                     47,                 0.5905,                0.57457,                 1.0318,                0.75492,                0.73257,                0.82057,                0.72834,                0.54124,                 0.6566,                0.94442,               0.005545,               0.005545,               0.005545
                     48,                0.58631,                0.56771,                 1.0282,                0.73319,                0.77538,                0.82243,                0.73086,                0.53753,                0.66603,                0.94018,               0.005446,               0.005446,               0.005446
                     49,                0.58196,                0.56136,                 1.0241,                0.78491,                0.75225,                0.82394,                0.73221,                0.54105,                0.65563,                0.93813,               0.005347,               0.005347,               0.005347
                     50,                0.57646,                0.54276,                 1.0255,                 0.8292,                0.74081,                0.81222,                 0.7225,                 0.5414,                0.66734,                0.94053,               0.005248,               0.005248,               0.005248
                     51,                0.57874,                0.54006,                 1.0246,                  0.811,                0.73212,                0.81274,                0.72304,                0.54165,                0.67642,                0.94252,               0.005149,               0.005149,               0.005149
                     52,                0.56975,                0.54276,                 1.0212,                0.79925,                0.74349,                0.80903,                0.72108,                0.54184,                0.67709,                0.94581,                0.00505,                0.00505,                0.00505
                     53,                0.56973,                0.53504,                 1.0225,                0.83903,                0.71203,                  0.818,                0.72752,                0.53974,                0.66873,                 0.9443,               0.004951,               0.004951,               0.004951
                     54,                  0.567,                 0.5232,                 1.0175,                0.72751,                0.76975,                0.81813,                0.72883,                0.54061,                0.67291,                0.94438,               0.004852,               0.004852,               0.004852
                     55,                0.55973,                0.51919,                 1.0172,                0.75462,                0.78002,                0.82224,                0.73379,                0.53968,                0.67202,                0.94237,               0.004753,               0.004753,               0.004753
                     56,                0.55774,                0.51912,                 1.0137,                0.80483,                0.74613,                0.82277,                0.73391,                0.53824,                 0.6882,                0.94129,               0.004654,               0.004654,               0.004654
                     57,                0.55395,                0.50774,                 1.0101,                 0.8165,                0.74062,                0.82072,                0.73284,                0.53777,                0.67993,                0.94152,               0.004555,               0.004555,               0.004555
                     58,                0.55185,                0.50908,                 1.0113,                0.80887,                0.73631,                0.82035,                0.73481,                 0.5331,                0.67738,                0.93812,               0.004456,               0.004456,               0.004456
                     59,                0.54872,                0.49874,                 1.0116,                0.78458,                0.73202,                0.81965,                0.73071,                 0.5348,                0.68657,                0.93899,               0.004357,               0.004357,               0.004357
                     60,                 0.5467,                0.49475,                 1.0074,                0.81234,                 0.7306,                0.82006,                0.73273,                0.53666,                0.67684,                0.93673,               0.004258,               0.004258,               0.004258
                     61,                0.54139,                0.48768,                 1.0051,                0.77438,                0.75018,                0.81939,                0.73356,                0.53762,                0.67495,                0.93784,               0.004159,               0.004159,               0.004159
                     62,                0.53745,                0.48497,                 1.0056,                0.82319,                0.73691,                0.81835,                0.73387,                0.53546,                0.66831,                0.93812,                0.00406,                0.00406,                0.00406
                     63,                0.53368,                0.47808,                 1.0038,                0.80985,                0.74548,                0.81752,                0.73245,                0.53701,                0.67842,                0.94026,               0.003961,               0.003961,               0.003961
                     64,                  0.534,                0.47917,                 1.0044,                0.78347,                0.75191,                0.82111,                0.73308,                0.53956,                 0.6857,                0.94103,               0.003862,               0.003862,               0.003862
                     65,                0.52922,                0.46701,                 1.0029,                0.80951,                0.73308,                0.82088,                 0.7367,                 0.5358,                0.68775,                 0.9387,               0.003763,               0.003763,               0.003763
                     66,                0.51995,                0.45695,                 0.9951,                 0.8037,                0.73914,                0.82122,                0.73618,                0.53653,                0.68399,                 0.9397,               0.003664,               0.003664,               0.003664
                     67,                0.51546,                 0.4541,                0.99198,                0.86012,                0.69906,                0.82307,                0.73617,                0.53755,                0.68554,                0.94233,               0.003565,               0.003565,               0.003565
                     68,                0.51879,                0.45412,                0.99903,                0.84571,                0.70834,                0.82586,                0.73755,                0.53941,                0.68605,                 0.9444,               0.003466,               0.003466,               0.003466
                     69,                 0.5133,                0.45121,                 0.9939,                 0.7751,                0.76445,                0.82461,                0.73816,                 0.5412,                0.68853,                0.94617,               0.003367,               0.003367,               0.003367
                     70,                0.51023,                0.44128,                0.98962,                0.77902,                0.75799,                0.82183,                0.73392,                0.54065,                0.69079,                0.94463,               0.003268,               0.003268,               0.003268
                     71,                0.50541,                0.43576,                0.98798,                0.83059,                0.71905,                0.82152,                0.73232,                0.54202,                0.69252,                0.94746,               0.003169,               0.003169,               0.003169
                     72,                0.50407,                0.43321,                0.98636,                0.84474,                   0.71,                0.82373,                0.73612,                0.53852,                0.68551,                0.94457,                0.00307,                0.00307,                0.00307
                     73,                0.50005,                0.42542,                 0.9857,                0.77396,                0.76625,                0.81966,                0.73422,                0.53845,                0.69181,                  0.944,               0.002971,               0.002971,               0.002971
                     74,                0.49739,                0.42755,                0.98445,                 0.7953,                0.75772,                0.81814,                0.73001,                0.53816,                0.68655,                0.94258,               0.002872,               0.002872,               0.002872
                     75,                0.49117,                0.41698,                0.98045,                0.80511,                0.75448,                0.81796,                0.73054,                0.53843,                0.68609,                0.94193,               0.002773,               0.002773,               0.002773
                     76,                0.48814,                0.41406,                0.98397,                0.80047,                0.75323,                0.81941,                0.73327,                 0.5385,                0.69068,                0.94177,               0.002674,               0.002674,               0.002674
